order,perry,tier,tier_label,difficulty,word_count,unique_words,sentences,avg_word_len,urn_reference
35,211,1,Simple,31.8,45,41,5,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:211
36,231,1,Simple,32.3,48,40,3,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:231
37,323,1,Simple,32.5,48,40,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:323
38,324,1,Simple,32.7,46,45,2,4.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:324
39,415,1,Simple,32.7,49,40,3,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:415
40,372,1,Simple,33.0,48,42,3,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:372
41,300,1,Simple,33.3,47,44,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:300
42,12,1,Simple,33.5,48,44,3,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:12
43,217,1,Simple,33.5,48,44,3,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:217
44,218,1,Simple,33.7,49,43,3,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:218
45,291,1,Simple,33.8,48,45,3,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:291
46,393,1,Simple,33.8,49,43,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:393
47,176,1,Simple,34.0,49,44,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:176
48,253,1,Simple,34.1,47,47,3,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:253
49,319,1,Simple,34.5,50,44,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:319
50,396,1,Simple,34.7,52,42,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:396
51,83,1,Simple,35.0,49,46,5,6.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:83
52,260,1,Simple,35.1,49,49,1,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:260
53,58,1,Simple,35.2,50,47,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:58
54,227,1,Simple,35.2,50,46,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:227
55,137,1,Simple,35.6,51,47,3,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:137
56,230,1,Simple,35.6,49,48,5,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:230
57,280,1,Simple,35.7,51,46,5,4.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:280
58,182,2,Easy,35.9,51,47,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:182
59,282,2,Easy,35.9,53,46,2,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:282
60,146,2,Easy,36.0,53,44,5,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:146
61,261,2,Easy,36.0,52,47,3,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:261
62,60,2,Easy,36.4,52,47,5,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:60
63,10,2,Easy,36.8,55,45,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:10
64,64,2,Easy,36.9,52,50,3,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:64
65,133,2,Easy,37.0,54,47,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:133
66,347,2,Easy,37.0,54,47,4,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:347
67,116,2,Easy,37.2,52,49,5,6.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:116
68,130,2,Easy,37.2,55,47,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:130
69,135,2,Easy,37.4,53,50,3,6.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:135
70,204,2,Easy,37.5,53,49,5,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:204
71,7,2,Easy,37.8,54,50,3,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:7
72,332,2,Easy,37.8,54,49,5,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:332
73,186,2,Easy,37.9,54,50,4,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:186
74,349,2,Easy,37.9,54,50,4,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:349
75,43,2,Easy,38.2,54,51,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:43
76,201,2,Easy,38.4,54,51,4,6.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:201
77,276,2,Easy,38.4,56,49,4,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:276
78,93,2,Easy,38.5,56,50,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:93
79,326,2,Easy,39.4,59,49,3,4.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:326
80,153,2,Easy,40.3,58,53,3,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:153
81,62,2,Easy,40.4,57,54,4,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:62
82,214,2,Easy,40.4,56,54,6,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:214
83,188,2,Easy,40.5,56,55,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:188
84,283,2,Easy,40.5,57,53,6,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:283
85,369,2,Easy,40.8,61,51,3,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:369
86,128,2,Easy,40.9,59,53,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:128
87,195,2,Easy,41.1,58,55,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:195
88,224,2,Easy,41.1,59,54,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:224
89,160,2,Easy,41.3,60,54,3,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:160
90,31,2,Easy,41.5,60,53,5,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:31
91,281,2,Easy,41.8,60,54,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:281
92,37,2,Easy,43.0,62,57,3,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:37
93,32,2,Easy,43.1,63,55,4,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:32
94,266,2,Easy,43.3,65,54,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:266
95,302,2,Easy,43.3,62,58,3,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:302
96,351,2,Easy,43.3,62,58,3,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:351
97,373,2,Easy,43.4,63,55,6,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:373
98,163,2,Easy,43.7,63,57,4,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:163
99,50,2,Easy,44.1,65,56,4,4.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:50
100,19,2,Easy,44.2,63,58,5,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:19
101,169,2,Easy,44.2,65,56,4,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:169
102,304,2,Easy,44.6,70,52,3,4.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:304
103,284,2,Easy,44.8,62,61,6,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:284
104,315,2,Easy,44.8,64,59,5,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:315
105,375,2,Easy,44.8,65,59,3,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:375
106,370,2,Easy,44.9,65,58,5,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:370
107,355,2,Easy,45.0,67,57,3,4.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:355
108,157,2,Easy,45.1,65,60,3,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:157
109,274,2,Easy,45.1,69,52,7,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:274
110,189,2,Easy,45.8,65,63,2,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:189
111,314,2,Easy,45.8,66,61,3,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:314
112,156,2,Easy,46.0,69,57,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:156
113,24,2,Easy,46.1,66,61,4,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:24
114,215,2,Easy,46.4,68,60,3,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:215
115,55,3,Medium,46.6,68,60,4,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:55
116,175,3,Medium,46.7,69,59,4,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:175
117,67,3,Medium,47.0,72,55,6,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:67
118,147,3,Medium,47.7,68,63,5,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:147
119,117,3,Medium,48.0,71,60,5,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:117
120,77,3,Medium,48.4,69,64,5,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:77
121,99,3,Medium,48.6,69,64,6,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:99
122,273,3,Medium,48.9,72,64,2,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:273
123,208,3,Medium,49.2,74,61,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:208
124,122,3,Medium,49.5,71,66,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:122
125,265,3,Medium,49.5,72,65,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:265
126,235,3,Medium,49.6,74,61,6,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:235
127,296,3,Medium,49.6,72,64,5,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:296
128,357,3,Medium,49.6,75,61,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:357
129,194,3,Medium,49.8,72,63,8,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:194
130,399,3,Medium,49.8,74,63,4,4.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:399
131,70,3,Medium,50.0,76,60,5,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:70
132,69,3,Medium,50.4,74,65,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:69
133,191,3,Medium,50.7,74,65,5,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:191
134,339,3,Medium,51.0,79,61,3,4.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:339
135,272,3,Medium,51.5,76,66,4,4.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:272
136,46,3,Medium,51.6,78,63,5,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:46
137,269,3,Medium,51.6,77,64,5,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:269
138,338,3,Medium,51.6,75,67,5,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:338
139,334,3,Medium,51.8,76,67,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:334
140,97,3,Medium,51.9,77,66,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:97
141,161,3,Medium,51.9,76,67,4,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:161
142,148,3,Medium,52.1,78,65,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:148
143,125,3,Medium,52.2,78,66,3,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:125
144,285,3,Medium,52.7,76,70,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:285
145,177,3,Medium,52.9,76,69,6,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:177
146,49,3,Medium,53.0,80,65,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:49
147,165,3,Medium,53.2,76,70,6,6.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:165
148,154,3,Medium,53.4,77,71,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:154
149,279,3,Medium,53.5,81,64,7,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:279
150,306,3,Medium,53.6,79,69,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:306
151,144,3,Medium,53.7,78,70,5,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:144
152,14,3,Medium,54.3,79,71,4,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:14
153,85,3,Medium,54.5,80,70,5,4.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:85
154,237,3,Medium,54.6,81,69,5,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:237
155,40,3,Medium,54.8,81,71,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:40
156,212,3,Medium,54.8,81,71,3,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:212
157,51,3,Medium,55.0,83,66,7,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:51
158,124,3,Medium,55.2,84,67,5,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:124
159,42,3,Medium,55.8,80,74,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:42
160,88,3,Medium,56.0,84,68,7,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:88
161,68,3,Medium,56.4,86,69,4,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:68
162,18,3,Medium,56.6,83,73,5,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:18
163,81,3,Medium,56.9,86,71,3,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:81
164,115,3,Medium,57.7,83,75,7,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:115
165,203,3,Medium,57.7,84,76,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:203
166,52,3,Medium,58.0,84,77,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:52
167,143,3,Medium,58.2,86,74,5,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:143
168,82,3,Medium,58.3,88,72,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:82
169,180,3,Medium,58.6,93,65,7,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:180
170,4,3,Medium,58.8,86,75,7,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:4
171,181,3,Medium,58.8,88,73,6,4.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:181
172,207,4,Complex,59.1,86,77,5,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:207
173,92,4,Complex,59.4,89,75,4,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:92
174,23,4,Complex,59.7,87,77,6,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:23
175,11,4,Complex,60.6,91,76,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:11
176,168,4,Complex,61.0,90,79,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:168
177,340,4,Complex,61.8,91,79,6,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:340
178,53,4,Complex,62.1,93,77,6,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:53
179,210,4,Complex,62.4,91,81,6,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:210
180,95,4,Complex,62.6,94,79,4,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:95
181,226,4,Complex,62.6,96,73,9,4.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:226
182,234,4,Complex,62.7,92,81,5,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:234
183,57,4,Complex,62.8,94,78,6,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:57
184,252,4,Complex,62.9,94,79,5,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:252
185,320,4,Complex,62.9,95,78,5,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:320
186,79,4,Complex,63.0,91,83,6,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:79
187,2,4,Complex,63.1,93,82,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:2
188,17,4,Complex,63.1,93,82,4,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:17
189,158,4,Complex,63.1,93,80,7,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:158
190,129,4,Complex,63.3,92,83,5,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:129
191,65,4,Complex,64.1,94,82,7,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:65
192,342,4,Complex,64.4,95,82,6,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:342
193,155,4,Complex,64.5,94,84,6,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:155
194,142,4,Complex,65.5,96,85,5,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:142
195,255,4,Complex,65.5,98,82,6,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:255
196,187,4,Complex,65.8,99,81,7,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:187
197,299,4,Complex,66.4,103,77,8,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:299
198,384,4,Complex,66.5,103,78,7,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:384
199,275,4,Complex,66.8,99,83,9,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:275
200,140,4,Complex,67.4,100,86,5,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:140
201,225,4,Complex,68.0,102,85,6,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:225
202,150,4,Complex,69.7,103,90,5,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:150
203,13,4,Complex,69.9,104,88,7,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:13
204,145,4,Complex,70.5,105,90,5,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:145
205,138,4,Complex,71.4,107,91,4,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:138
206,16,4,Complex,71.5,105,93,5,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:16
207,44,4,Complex,72.0,110,86,8,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:44
208,35,4,Complex,73.6,112,89,8,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:35
209,100,4,Complex,73.8,113,91,4,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:100
210,179,4,Complex,74.1,107,99,5,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:179
211,22,4,Complex,81.7,121,105,6,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:22
212,200,4,Complex,81.9,122,104,7,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:200
213,101,4,Complex,84.1,127,103,9,5.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:101
214,73,4,Complex,84.3,129,101,9,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:73
215,105,4,Complex,84.9,135,98,5,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:105
216,74,4,Complex,88.4,137,107,5,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:74
217,94,4,Complex,88.4,139,103,7,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:94
218,363,4,Complex,91.3,139,112,8,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:363
219,6,4,Complex,94.3,144,117,5,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:6
220,258,4,Complex,94.9,142,119,9,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:258
221,91,4,Complex,95.2,144,121,4,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:91
222,328,4,Complex,98.8,151,121,8,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:328
223,259,4,Complex,100.6,155,123,6,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:259
224,173,4,Complex,105.7,171,116,10,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:173
225,9,4,Complex,111.3,174,132,8,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:9
226,352,4,Complex,111.8,175,129,13,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:352
227,1,4,Complex,123.6,190,151,9,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:1
